iter	Passed	Remaining
0	43	4293
1	67	3320
2	91	2973
3	118	2836
4	143	2723
5	168	2636
6	193	2572
7	218	2511
8	261	2649
9	301	2709
10	327	2649
11	351	2581
12	375	2512
13	397	2443
14	423	2400
15	449	2358
16	473	2312
17	497	2267
18	522	2227
19	547	2190
20	572	2154
21	599	2124
22	623	2085
23	647	2051
24	672	2017
25	698	1987
26	724	1957
27	749	1926
28	772	1890
29	797	1861
30	822	1829
31	846	1798
32	872	1771
33	897	1743
34	924	1716
35	949	1687
36	973	1658
37	998	1629
38	1021	1598
39	1046	1570
40	1072	1543
41	1097	1516
42	1099	1458
43	1125	1432
44	1149	1404
45	1174	1378
46	1198	1351
47	1223	1325
48	1246	1297
49	1273	1273
50	1297	1246
51	1321	1220
52	1344	1192
53	1369	1166
54	1391	1138
55	1416	1112
56	1439	1085
57	1463	1059
58	1488	1034
59	1512	1008
60	1537	982
61	1560	956
62	1587	932
63	1612	907
64	1636	881
65	1662	856
66	1688	831
67	1713	806
68	1716	771
69	1741	746
70	1765	721
71	1790	696
72	1814	671
73	1838	646
74	1862	620
75	1887	596
76	1912	571
77	1935	546
78	1960	521
79	1985	496
80	2010	471
81	2034	446
82	2047	419
83	2072	394
84	2098	370
85	2122	345
86	2146	320
87	2173	296
88	2197	271
89	2220	246
90	2233	220
91	2257	196
92	2281	171
93	2304	147
94	2329	122
95	2351	97
96	2375	73
97	2400	48
98	2425	24
99	2450	0
